,cosmo_solubility_g_100g_log,solute_chiral_u,solute_reactive,solute_SlogP_VSA6,solute_SMR_VSA4,solute_PEOE_VSA+4,solute_logP(o/w),solute_PEOE_RPC-,solute_a_ICM,solute_rsynth,solvent_rsynth,solute_PEOE_VSA-0,solute_radius,solute_a_nN,solute_balabanJ,solute_GCUT_PEOE_2,solute_PEOE_RPC+,solute_PEOE_VSA-4,solute_PEOE_VSA_FPOS,solute_SlogP_VSA1
"2-[(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]butanedioic acid",-0.2297306026455962,0.30722011457948817,0.0,0.0,0.0,-0.017879266483010876,0.0,0.0,-0.002680203875471496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004783848366999629,0.0,0.0
"(2S)-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one",-0.045287908339003105,-0.012098303677475346,0.05279474430440798,-0.008627172866195949,0.0028894202937256993,0.010227272553544232,0.004898704137351308,0.0,0.0,0.0,0.0,0.0004106962236169782,0.0,0.0,0.0,0.0,0.0,0.003108643364317827,0.0,0.0
mefenamic acid,-0.10939461329382053,-0.003659789633108797,-0.0069291672383555575,0.0,-0.04740912042062578,0.019109056497678887,0.013501404510965395,0.0,0.0,0.0,-0.03185576708081885,0.0,0.010142664552049962,0.0,0.0,0.0,0.0,0.0,0.0,0.004908494426138412
hexanedioic acid,-0.20249820787453107,-0.010204770630547207,0.0,0.0,0.029379014419421805,0.0,-0.01707500863622657,0.0,0.0,0.0,0.0,0.0,0.0,0.0010763473684239713,0.024259813155748843,0.0,0.0,0.006586705118583234,0.0,0.0
sulfamethoxazole,-0.3055400287904774,0.0,-0.03672178132021629,0.0,-0.06247802959184904,0.0,0.0,0.0,-0.020103532530771344,0.0,0.0,0.0,0.0,-0.01679353844482642,0.0,0.0,0.0,0.0,0.0,-0.006560526776509581
ascorbic acid,0.2095515936610965,0.0,0.0,0.0,0.0,-0.11823791730117991,0.0,-0.0205367471353879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035853174947747736,0.0
sulfamethoxypyridazine,-0.08834282629037588,-0.001747932869053006,-0.010023584613453696,-0.0018765773588942903,-0.021154968186246195,0.0,0.0,0.0,-0.015584242278752908,0.0,0.0,0.0,0.0,-0.03240429005270291,-0.003076962930079844,-0.002664059461675268,0.0,0.0,-0.000955894816725611,-0.05040005512195676
311-03-5,0.04647626878695305,0.0,-0.005376441447015481,0.0,0.0,0.0,0.0,0.0,-0.002050349735821688,0.0,-0.002351135670888222,0.0,0.0,-0.000721669002441397,0.0,0.0,0.0,0.0,0.0,0.0
trimethoprim,-0.5874641813826097,0.0,-0.012514678645215084,0.0,0.0,0.0,-0.007882898073249552,-0.01093226936519582,0.0,0.0,0.009359251471807079,0.0032838646538788856,0.0,-0.00753935487451308,0.0,0.0,-0.009029180180020966,0.0,0.0026795128133715396,0.0
theophylline,-0.08021761981855366,0.0,0.0,-0.008211919232546366,0.0,-0.020407695678644453,-0.02326157230339769,-0.009237914789582346,-0.011193493323613326,-0.0035107340941266094,0.0,0.0,0.0,-0.017813119280041655,0.0,0.012389381590169406,0.0,0.0,0.0,0.0
