solute_name,solute_FP_315,solute_FP_378,solute_FP_1876,solute_FP_222,solute_FP_1762,solute_FP_935,solute_FP_1536,solute_FP_656,solute_FP_114,solute_FP_227,solute_FP_1991,solute_FP_1009,solute_FP_145,solute_FP_883,solute_FP_4,solute_FP_191,solute_FP_310,solute_FP_888,solute_FP_1199,solute_FP_1683
sclareol,0.029675930028229644,0.018494356452481705,-0.01560841018065482,0.015225911864763474,0.01732931339848702,0.01409944899152668,0.011497764972935493,0.0101969865275367,0.12402235563891736,0.00962814257680293,0.00869842224073099,0.0070223547461567,-0.008156051034395866,0.008646519904247146,0.0038436617970166315,-0.00571265842626913,-0.00524091774259432,0.005675820552132791,-0.00738932122292681,0.010319548359921927
"2-(2-bromoethoxy)-1,3,5-trichlorobenzene",0.026956753725607997,0.01787183316018075,-0.01255329427795784,0.013493973303167357,0.025700370193683608,0.01459658430322244,0.017163285263897186,0.016593195164428576,-0.004357172632039042,0.013411329251996772,0.007560121991409687,0.007601265454224112,-0.007962818094570789,0.009661230427986344,0.007883546978179895,-0.007520631338770077,-0.007089940883161034,0.007283319940206638,-0.009716196774544578,-0.049365838061244824
"pyrrolidine-2,5-dione",0.03696357860050436,0.030866476360065082,-0.01456430001097033,0.025298325805172984,0.016200382557775204,0.021008275301307246,0.00855587623562921,0.012153923584592122,-0.007099562546712453,0.009906445344883346,0.008359560182167722,0.010143659068125999,-0.007398947073149126,0.006870449416649838,0.006304568409753605,-0.010527810832190879,-0.005528736279532799,0.006434094680316776,-0.009865299431967288,0.00894142794188762
phenylphosphinic acid,0.041116304983976684,0.025573800920319623,-0.01905197442002342,0.019590531006912593,0.024689530660786357,0.021642976086101648,0.010949133818746001,0.012827354047743331,-0.008005454129064067,0.00836352641878572,0.008886061853020995,0.008039323676154406,-0.00834808999626451,0.008528956073569134,0.005188810623725052,-0.008711269126518649,-0.007767588245308919,0.007073333504861997,0.029680990852178485,0.0081335296134057
gsk3388354a,0.030573548954271248,0.025918983119627228,-0.0164457670765179,0.02301731759483248,0.01785724169853243,0.01847453816178521,0.011826851226256362,0.017774181929235053,-0.009719464289581602,0.006838352459453745,0.011358889352320278,0.010693020018744781,-0.007480597678212299,0.0064451231253666,0.006936416254850752,-0.0069063373248146875,-0.005362604934323048,0.00411321712593365,0.016818651093864382,0.00442059786453943
3-[bis(3-hydroxypropyl)phosphoryl]propan-1-ol,0.01901562105399145,0.022125853289159555,-0.019206610767349568,-0.2046496353760033,0.025832391779944636,0.017312516630284207,0.014677839472881584,0.01123284633782792,-0.009293606779174296,0.016042360993191583,0.007961638939876657,0.008337858127529867,-0.012022752073524835,0.010887388613690357,0.009215160342025358,-0.00922728594952787,-0.007278721830620531,0.0071716783081787324,-0.010947663547475324,0.009194684929144778
4-aminobenzoic acid,0.025443360971660393,0.025226040340914548,-0.019027215278981505,0.020497445339929983,0.021748374204539383,0.019389023845476912,0.015225356283413323,0.009833241652884074,-0.008311889725754251,0.011739360622401971,0.008417532909249228,0.00879072614518615,-0.010574739275106064,0.0101727558679025,0.008370488165746185,-0.008989139744136386,-0.006148113771097996,-0.10894346126908447,-0.011672918077922078,0.008016866432318541
acetanilide,0.026362988939101797,0.02315377742581859,-0.018494833914755305,0.022118362258597698,0.019760160553169044,0.019453541342788868,0.013838153018416507,0.014375577075302317,-0.009232556757315252,0.0069676307879672095,0.012068774860745179,0.010176753419145826,-0.009173261029666264,0.0075912776762379515,0.008177368166643646,0.07056822219057608,-0.005585613432508581,0.005701305388133733,0.024320387027189555,0.004964726032567341
haloperidol,0.03066892150558068,0.02353974158191984,-0.016613611612080532,0.015561778220893616,0.02108065953125053,-0.08053626891400759,0.016237187292675887,0.01117009776346654,-0.005376418603698487,0.009395271974325834,0.00694742070981542,0.010207034853676585,-0.008759426737036008,0.007068543346070397,0.006291776787122496,-0.0048375578564253795,-0.004802905354030932,0.004836122832398709,-0.008852160862572,-0.04814400860193788
naproxen,0.02429077507696408,0.021637470380575848,-0.01703666512762186,0.020568867337890203,0.016078809140608722,0.018239914234943554,-0.06665213355667102,0.012175676817994006,-0.008183777702697919,0.010448677436077325,0.01029372931305965,0.00878612073652602,-0.009674626565256696,0.008601280827161615,0.005904457822795056,-0.008542684018878595,-0.006699132654416204,0.005363745035069916,-0.00828429417258444,0.008590947154893178
phenacetin,0.02028344367004008,0.019647646120922995,-0.018967364303588773,0.024209942567159876,0.016913563550125608,0.02002735994031744,0.011396479421122681,0.006007586727851698,-0.011261315722669158,0.006864799782862454,0.011725218748875445,0.009662431439428475,-0.010443680285898153,0.007767299138171697,0.006859965145118849,0.036976800507153317,-0.0065301938637782895,0.005068523083095247,-0.00833085187290894,0.005109761255412845
carbamazepine,0.022483863827710594,0.029461325059350202,-0.015556223062099889,0.022690212170877203,0.02162799998792616,-0.09177049849346076,0.01586242172657512,0.013711455470453073,-0.009697872790777183,0.006465441016080149,0.011397094456944614,0.010364224397897488,-0.006833200339977338,0.00888539077481255,0.00930673903398565,-0.009297412147149771,-0.006722803884709719,0.00568106027680733,0.018114801040572275,0.003778317694843281
gsk2894512a,0.020255650887732676,0.021888983275057398,-0.02136366749822173,0.03141973954020311,0.021993903701465266,0.013711409046663903,0.011586092006770438,0.012485068642921154,-0.010053860106163484,0.005136106436002592,0.017726938911243148,0.011211830606916919,-0.00902503298594335,0.007415778034095031,0.006618234539879874,-0.009635736967320554,-0.006596144875244742,0.005789556881445605,0.021073260583622563,0.0036661801620842503
gw342946x,0.020414804067186196,0.027188911778490973,-0.0285948411465021,0.025435882336932992,0.018293830851131742,-0.10021890531541429,0.01743068687577761,0.006140266356657473,-0.013927010605239048,0.006171309693624304,0.012287874321967441,0.009287749472180924,-0.009295081011550792,0.008727503874930941,0.009585804437986857,-0.0047563214941556,-0.005916143958529574,0.005525161219605554,-0.008669891402375167,0.0038490932009153764
