solute_name,solvent_FP_807,solvent_FP_1057,solvent_FP_695,solvent_FP_1143,solvent_FP_222,solvent_FP_650,solvent_FP_80,solvent_FP_790,solvent_FP_1683,solvent_FP_1238,solvent_FP_565,solvent_FP_794,solvent_FP_1444,solvent_FP_1,solvent_FP_591,solvent_FP_674,solvent_FP_1155,solvent_FP_1088,solvent_FP_1017,solvent_FP_294
haloperidol,0.0028486703896424635,0.0033174978183048475,0.0006909757576991418,-0.0036757518760910336,0.0006344750840309227,0.004583020072529437,0.003276889099622797,-0.005437438159645423,-0.0031396358162629227,-0.003029381795556848,-0.0014203950321335956,0.001229975157576658,0.0022519721709445897,-0.0005171021601010859,-0.0004423509867750069,0.0034135168084825497,0.0022822175051680047,-0.002099977473648883,-0.0007025974633982584,-0.00024050632754201966
naproxen,0.003074206665623639,0.0013130626805996728,-0.006288985379621496,0.0025113011518850164,-0.0002715179908881832,-0.0019322808514962455,-0.0014171648707571743,-0.0011713039120390492,0.002292864630840232,-0.003663976308148302,-0.003783766028406218,0.001344583096144649,-0.0004732518327167663,-0.0009292423843476904,0.001757022161323954,0.0008332380598262863,-0.0006060478900525918,-0.0011353773849297737,0.0005064914730410824,-0.0004196675570869223
phenacetin,-0.008736950509732456,0.010088897520781756,0.003722253540055525,-0.003999430498167515,0.006076943765335401,-0.0035600236649764023,0.005719051675404703,-0.005844012022787086,-0.0005778034236027452,-0.004612986349793573,0.0017506780021169887,0.000994539132678613,-0.002879796022369711,-0.0010299474834508666,0.0012817135791224896,0.0034269952680395883,-0.0016434475918166364,-0.0003798105894955893,0.00032522650988409753,0.000755212183650136
carbamazepine,0.015108120291230081,-0.003168555556811043,0.00490953143157094,-0.005353605006129329,-0.0007085102708970223,0.0019661038963186004,-0.0004331740899692703,-0.00370560764379843,0.005431714552942139,-0.004798763264829178,0.007095212754096793,0.0018422645965042645,0.003972584841867501,7.116094005868948e-05,0.001964481809600329,-0.005302297171123428,0.002563405049961148,0.0026582005422478685,-0.0013285854331006705,-0.0007829492697565005
gsk2894512a,-0.07719041848074994,0.02094868730374704,0.009856978513598734,0.008320287457002752,-0.006586695064129344,-0.0068362506208056095,0.0017283012953324337,-0.0022757668522535826,0.030730800553901646,0.004982994534560324,-0.006778969956782627,0.0016140793936331953,-0.003986458786372774,-0.0027719203027724384,0.0026228115986396006,0.0027541741155224977,-0.0018878617333393775,-0.008703477846280899,0.0014032154851823483,-0.0002562096567756574
gw342946x,-0.003753327269232614,-0.01533739582686394,-0.033876529866596075,-0.00593942771373501,-0.0036748048677903472,0.0056258212486591215,0.0006135438574801812,0.00634455970897155,-0.005469978173083897,-0.008531038533243798,-0.0031324351711464263,0.004852362679377316,0.0005096946856247087,0.0008968278602454425,0.002507019451704764,-0.0033557155746893838,-0.00046799761222852493,-0.0003002035508507107,-0.003280252551985541,0.0006157364296511028
quercetin,0.014022424677700655,-0.006281235291780831,0.008012444722280633,-0.003693555340569219,0.0038696740911109357,0.0008956272393606923,0.0005333265049330292,0.0037222513846108993,-0.003728043969531427,0.003727458303237654,-0.006607430654257769,-0.0015216074711952386,0.002302216390853573,0.004712342149205142,0.004641301302472129,-0.003616304811689588,-0.0029308794490407308,0.0030423574930591715,0.006639457145311098,-0.0006596572426042259
paracetamol,-0.015737095554584708,0.000806673858664558,0.004298413632231079,-0.002808740160131632,-0.0023247618849046164,-0.005817333625001573,0.004861630378271772,-0.001322075644391309,-0.0013851886520289834,0.002738702757072203,-0.0008359813173365185,0.0012492433483437429,0.0010471934289090802,-0.0006387039363633344,0.00101863567359872,0.002694843350120314,-0.0009200469032237797,-0.0008513427800086831,0.0018932910815930462,0.0027353539724607307
lovastatin,0.04274072366433591,-0.011400057436294447,-0.02466638957522677,0.002377735274438402,0.001596339510823038,0.008549342390923068,-0.002776118522760126,-0.004792096866301356,-0.0049564463699293395,-0.002347077777352421,-0.004309967748529082,-0.001662066980053086,0.00356835281468441,9.45157606450018e-05,-0.001115862144119588,0.0022103216983743383,-0.0007629964159832525,0.0034781402850983965,-0.0001636407519254135,-0.0014910374886816997
octadecanoic acid,-0.04514110426953266,-0.008460803128230813,0.007417968229334898,0.0029808341502363563,-0.005642991836809112,-0.002944556499096507,-0.004252246124985201,-0.0034254855879165317,-0.007199617094059553,0.004049002702862102,-0.0056100761259100795,-0.010979757602641865,0.011070640310293431,-0.004041447075251199,-0.006500719292101469,0.001923567208298967,-0.0037439296685624866,0.00306192505708168,-0.007140878586627271,-0.000531899183100298
